"","Name","Day","Media","Type","Date","UniqueId","Path","Class","Relative","MinorAx","MidAx","MajorAx","CellSurfaceArea","CellVolume","MitoVolSur","MitoLength","MitoVolLen","MitoToCellVolRatio","MitoToCellSurRatio","MitoQuasiDensity","Nodes","Edges","avgDegree","avgDegreeCor","Loops","MultipleEdges","avgCC","sdCC","DiameterTop","DiameterGeo","avgEdgeLength","stdEdgeLength","maxEdgeLength","FracLongEdges","Clusters","Phi","Beta","Pk1","Pk3","avgBETgeo","sdBETgeo","maxBETgeo","avgBETtop","sdBETtop","maxBETtop","avgGeoSTopSRatio","sdGeoSTopSRatio","avgEdgeLengthProjected","avgEdgeLengthGeodesic","avgEdgeLengthSpherical","avgEdgeTension","netTension","avgLongEdgesTension","LongestEdgeTension","logNodes","logNormLength","Meshedness","Redundancy"
"4289","020714_1_25_21","1","Glucose","WT","24",22,"/Volumes/TOSH/UCI/MyData/NewScopeUnbudded/Analysis//DATA_24H_DAY1/cells","Single",NA,1.382826,1.465045,2.466858,38.548351,20.933953,2.94721,34.24095,2.42035,0.140786119086061,0.0764548916761705,0.888259785742845,22,20,1.81818181818182,1.81818181818182,1,0,0,0,4,8.89531,1.712048,1.42329718636027,4.68711,0.4,4,0.454545454545455,0.557622800295319,0.590909090909091,0.409090909090909,0.020995670995671,0.0357455370724873,0.114285714285714,0.0166666666666667,0.024535419834937,0.0571428571428571,1.46498970149254,0.897369571415406,1.9427125,1.342113,1.267864,0.853859619894367,0.690844888268336,0.5980882993492,0.89967965882204,3.09104245335832,-0.0227542235448432,-0.0256410256410256,0.1
"4290","020714_1_25_22","1","Glucose","WT","24",23,"/Volumes/TOSH/UCI/MyData/NewScopeUnbudded/Analysis//DATA_24H_DAY1/cells","Single",NA,1.658639,1.766648,2.630922,50.565529,32.292253,3.82717,46.65238,3.29766,0.118516660946512,0.0756873323722174,0.922612319550736,33,42,2.54545454545455,2.4,0,3,0.0895522388059701,0.0895522388059701,11,16.84939,1.11077166666667,1.03124541720529,4.82643,0.119047619047619,1,1,1,0.272727272727273,0.636363636363636,0.137768817204301,0.147347058480967,0.495967741935484,0.131048387096774,0.154643945967142,0.516890681003584,1.24214123781716,0.525933235415503,1.25360166666667,1.13972428571429,1.10900333333333,0.972123637626272,0.909159836030546,0.844032729662518,0.768965098195997,3.49650756146648,-0.591067957072797,0.163934426229508,0.238095238095238
"42912","020714_1_25_23","1","Glucose","WT","24",24,"/Volumes/TOSH/UCI/MyData/NewScopeUnbudded/Analysis//DATA_24H_DAY1/cells","Single",NA,1.445015,1.450143,2.542907,40.298501,22.320423,3.13161,38.68957,2.7348,0.140302448569187,0.0777103346846574,0.960074668782345,30,30,2,2,0,0,0.0666666666666667,0.0666666666666667,10,15.59241,1.28965166666667,1.07161047154813,5.06571,0.266666666666667,3,0.866666666666667,0.952679211828517,0.5,0.5,0.0888341543513957,0.115733605583608,0.408866995073892,0.0881773399014778,0.116237658065205,0.423645320197044,1.38677754525266,0.553373922561857,1.436417,1.250203,1.197868,0.953092517287786,0.870362158064128,0.761124041484497,0.853625094926205,3.40119738166216,-0.328272856560644,0.0181818181818182,0.1
"42921","020714_1_25_24","1","Glucose","WT","24",25,"/Volumes/TOSH/UCI/MyData/NewScopeUnbudded/Analysis//DATA_24H_DAY1/cells","Single",NA,1.971891,2.233571,3.015595,72.196312,55.634488,5.27287,68.01236,4.80751,0.094777002351491,0.0730351711040309,0.942047566086201,44,50,2.27272727272727,2.14285714285714,0,4,0.04,0.04,11,15.58366,1.3602476,0.936374232259208,4.11273,0.16,4,0.863636363636364,0.941436691378834,0.409090909090909,0.545454545454545,0.0739706030403705,0.0900494542068902,0.312292358803987,0.0725108225108225,0.0884533099008838,0.336655592469546,1.46385262537301,0.392320316301603,1.4930696,1.3235644,1.2470742,0.925275580086255,0.886472003716371,0.80059200168003,0.817346466732108,3.78418963391826,-0.566515616645424,0.0843373493975904,0.2
"4293","020714_1_26_25","1","Glucose","WT","24",26,"/Volumes/TOSH/UCI/MyData/NewScopeUnbudded/Analysis//DATA_24H_DAY1/cells","Single",NA,1.324459,1.515649,1.715828,28.917735,14.427774,2.38022,35.69997,2.52348,0.164974860293764,0.0823100426088004,1.23453548488497,26,39,3,2.71428571428571,0,2,0.155844155844156,0.155844155844156,7,7.11203,0.915383846153846,0.637584104394803,2.87491,0.128205128205128,1,1,1,0.115384615384615,0.692307692307692,0.130897435897436,0.112204407488427,0.446666666666667,0.0994871794871795,0.085588121495205,0.261293650793651,0.919403491135531,0.344232090269719,1.04061051282051,0.936482307692308,0.890778974358974,0.938331983382452,0.899935466877063,0.84522892260926,0.909033735139161,3.25809653802148,-0.505127211556574,0.297872340425532,0.358974358974359
"4294","020714_1_26_26","1","Glucose","WT","24",27,"/Volumes/TOSH/UCI/MyData/NewScopeUnbudded/Analysis//DATA_24H_DAY1/cells","Single",NA,2.041223,2.178919,2.794757,68.379484,52.067194,4.83258,57.18932,4.04248,0.0928142968487989,0.0706729521386853,0.836352026289055,45,44,1.95555555555556,1.90909090909091,0,2,0,0,10,16.29005,1.2997575,0.938861033083407,3.67753,0.159090909090909,6,0.733333333333333,0.830315375263183,0.533333333333333,0.444444444444444,0.047568710359408,0.0626336051488735,0.200845665961945,0.0450317124735729,0.0580802731186819,0.176532769556025,1.3205193208975,0.417069247993069,1.42117431818182,1.25652045454545,1.18671340909091,0.938358395862547,0.884142387369472,0.806699039452183,0.693004763780938,3.80666248977032,-0.584846586968156,0,0.113636363636364
"4295","020714_1_26_27","1","Glucose","WT","24",28,"/Volumes/TOSH/UCI/MyData/NewScopeUnbudded/Analysis//DATA_24H_DAY1/cells","Single",NA,1.550433,1.621022,2.593964,45.603459,27.308284,3.39754,38.433,2.71667,0.124414261987315,0.0745018047863431,0.842765019206109,22,22,2,2,0,0,0.0909090909090909,0.0909090909090909,8,14.28236,1.74695590909091,1.38109123363913,6.57212,0.318181818181818,2,0.909090909090909,0.978725330789688,0.5,0.5,0.125541125541126,0.166160848605884,0.485714285714286,0.124675324675325,0.164915558643979,0.457142857142857,1.59582465843929,0.662545147591043,1.94616590909091,1.61596818181818,1.55364,0.902411665200463,0.830334235262106,0.759132866567475,0.622110914775044,3.09104245335832,-0.0866048682056958,0.0256410256410256,0.0909090909090909
"4296","020714_1_26_28","1","Glucose","WT","24",29,"/Volumes/TOSH/UCI/MyData/NewScopeUnbudded/Analysis//DATA_24H_DAY1/cells","Single",NA,1.360917,1.462829,2.756181,41.905555,22.983764,2.64239,33.43165,2.36314,0.114967678923261,0.0630558406874697,0.797785639636559,22,26,2.36363636363636,2.2,0,2,0.157894736842105,0.157894736842105,6,7.0642,1.28583230769231,1.13398094606676,5.74618,0.192307692307692,3,0.681818181818182,0.792336241955226,0.363636363636364,0.545454545454545,0.058008658008658,0.0658458763911625,0.185714285714286,0.0443722943722944,0.0565465596913987,0.206349206349206,1.00894590517241,0.461502360882771,1.45322961538462,1.16693884615385,1.15703538461538,0.920049852217091,0.80299687936445,0.747590966317978,0.36952112783849,3.09104245335832,-0.350790855428593,0.128205128205128,0.269230769230769
"4297","020714_1_26_29","1","Glucose","WT","24",30,"/Volumes/TOSH/UCI/MyData/NewScopeUnbudded/Analysis//DATA_24H_DAY1/cells","Single",NA,1.664981,1.684519,2.57836,48.435736,30.291264,3.52173,44.65328,3.15635,0.116262233230016,0.0727093318041043,0.921907741837556,29,39,2.68965517241379,2.64285714285714,0,1,0.0422535211267606,0.0422535211267606,8,7.3306,1.14495615384615,0.835644791433901,4.07093,0.153846153846154,2,0.931034482758621,0.972009901174135,0.172413793103448,0.793103448275862,0.0977011494252873,0.0736745889949135,0.264550264550265,0.0871191388432768,0.0632002583027856,0.237962962962963,1.06984156053842,0.418898008500887,1.27924743589744,1.17994974358974,1.16665051282051,0.957848427694827,0.922378040775175,0.870564235023956,0.752669047028387,3.36729582998647,-0.539240478019463,0.207547169811321,0.307692307692308
"4298","020714_1_26_30","1","Glucose","WT","24",31,"/Volumes/TOSH/UCI/MyData/NewScopeUnbudded/Analysis//DATA_24H_DAY1/cells","Single",NA,1.592243,1.756267,2.748055,50.983644,32.189474,3.86355,56.41149,3.98749,0.120025260431407,0.0757801855041982,1.10646249608992,46,58,2.52173913043478,2.45454545454545,0,1,0.115384615384615,0.115384615384615,16,15.79083,0.97261224137931,0.800304268662081,3.56353,0.137931034482759,2,0.956521739130435,0.989990517892536,0.260869565217391,0.695652173913043,0.117632850241546,0.148436924937214,0.468686868686869,0.112911725955204,0.141274822566674,0.458585858585859,0.868091755202647,0.380211316200006,1.0785874137931,0.967257931034483,0.889768448275862,0.951720002748024,0.896782141776433,0.799428428628713,0.915109904591218,3.8286413964891,-0.728010109067083,0.149425287356322,0.241379310344828
